2015-2016 ECE110 Honors Project	Electrical and Computer Engineering Building	3018	Projects from ECE110 Honor's Section	Electrical and Computer Engineering	https://wiki.cites.illinois.edu/wiki/display/ECE110HLSF15/ECE+110+Honors+Lab+Section+Home
WAND Magic Pen	Electrical and Computer Engineering Building	First Floor Atrium	"Motion sensing is playing a more and more important role in modern technology. Motion sensors have been widely used in many applications such as intelligent systems, automation systems and motion tracking systems, etc. The adoption of these motion sensors enables these systems to obtain real-time attitude and make immediate execution. <--->In this project, gyroscope and accelerometer are used to construct a hand motion sensing device � WAND. It is a three dimensional writing pen which can analyze real-time hand motion and wirelessly communicate with host computer to plot the path of the hand motion. <--->Using WAND is a joy. It is revolutionary and convenient to use. You can write or draw freely in air. You can control your mouse without holding it on a surface. You can use it to flip pages of presentation slides. User friendly is what our team mostly focus on."	Electrical and Computer Engineering	
The Six Minute ECE Booth	Electrical and Computer Engineering Building	First Floor Atrium	"Join HKN's exciting introduction to the world of Electrical and Computer Engineering! Try our hands-on demos covering a whole range of topics--circuits, motors, and optics. "	Electrical and Computer Engineering	
Project Andy - 3D Printed Robots	Electrical and Computer Engineering Building	First Floor Atrium	"Come interact with Andy, a life-size 3D printed humanoid robot. Control a prosthetic hand, learn about rapid prototyping robots, and take home your own Andy keychain!"	Electrical and Computer Engineering	
TAG-Energy	Electrical and Computer Engineering Building	First Floor Atrium	"This is IEEE's Technical Advancement Group - Energy. They will (likely) have two items to present.  <--->Solar: A Charging port for people that come with their smart phones and such. A way to showcase an easy design that many people can incorporate in their homes without using the grid. DC/AC converter with amp rating of 1A, 5V (Standard charger) <---> Wind Turbine: A generation of electricity with wave formations on screen. May including powering up a Tablet or a device because of direct AC current. Will need AC output plug nearby to plug in Oscilloscopes and stuff."	Electrical and Computer Engineering	
Start Up Day	Coordinated Science Laboratory	301	"Ever wondered how technology makes the leap from idea to new product? Come meet Illinois researchers who have launched start-ups that are building the next generation of intelligent UAVs, smart fitness trackers, video conferencing systems, and so much more. A special Q&A with the faculty who formed start-ups such as Rithmio, Embedor, Reconstruct Inc, Eden Park Illumination, EP Purification, and others will be held from 2-3 pm Friday, March 11."		
Information and Communication Technology (ICT) Methods for Assisting Framers in Developing Countries	Coordinated Science Laboratory	368	"The world food supply must continue to increase to keep up with the growing population.  A substantial number of farmers in developing countries, that may not have running water or electricity, do however use cellphones. See how we can use this technology to assist these farmers in monitoring stored grain and improving market sales to prevent their significant post-harvest food loss."		
Rithmio	Coordinated Science Laboratory	Studio	Gesteure Eecognition Platform	Mechanical Science and Engineering	http://rithmio.com/
Aerospace Controls and Aviation Safety	Coordinated Science Laboratory	Studio	This exhibit the latest research being performed at the Advanced Controls Laboratory. It contains a Flight simulator and some videos that showcase the latest flight tests performed to the safety in aviation from a controls perspective.	Aerospace Engineering	
ShinerBots	Coordinated Science Laboratory	Studio	A swarm of hundred small robots move around to go to dark areas. Inspired by the Golden Shiner fish.	Aerospace Engineering	
3D Imaging and Augmented Reality	Coordinated Science Laboratory	B-15	Generate a model of your face in 3D and see how augmented reality will change your world with our latest developments in 3D imaging.	Electrical and Computer Engineering	http://minhdo.ece.illinois.edu/collaborations/
Robotic Surgery	Coordinated Science Laboratory	1233 CSL Studio	This demonstration will show how tele-robotic based surgery is performed on a RAVEN robot at the Health Care Engineering Center. Participants will be able to control the robot and see what surgeons have to master when they perform surgery using a robot.	Industrial and Enterprise Systems Engineering	http://healtheng.illinois.edu/
Visible Heart Project	Coordinated Science Laboratory	1234 CSL Studio	Researchers will demonstrate the use of Virtual Reality to view a pediatric heart for surgical planning. The demonstration will include a Occulus-based immersive experience.	Industrial and Enterprise Systems Engineering	http://healtheng.illinois.edu/
ITI Power Grid Lab	Coordinated Science Laboratory	1248 CSL Studio	"The Information Trust Institute's (ITI) Power Grid Lab provides a cutting-edge environment to explore the complex cyber security issues of critical infrastructure. Research in this area helps keep the hackers out, keeps the lights on and keeps an eye on the way we will interact with our environments in the future. From the Internet of Things to the electric power lines running down the road, the ITI Power Grid Lab has a way to look at it all."		
Human-Robot Interaction in Virtual Reality	Coordinated Science Laboratory	1257 CSL Studio	Interact with robots in a Oculus Rift supported VR environment. Learn how we use VR as a platform to study the comfort and safety of humans around robots and model them to appear more friendly.	Mechanical Science and Engineering	http://roboticslab.csl.illinois.edu/
Flying Autonomous Robots	Coordinated Science Laboratory	1257 CSL Studio	Watch quadrotors fly autonomously in our motion capture laboratory and interact with them as they perform different tasks and maneuvers.	Aerospace Engineering	http://roboticslab.csl.illinois.edu/
Utilities Production	Utilities Production	Chiller Plant	Overview of Utilities Production on the UIUC Campus		http://www.fs.illinois.edu/services/utilities-energy/production
Sea perch Underwater Robots	Hydrosystems Lab	Laboratory	Participants will get first-hand experience with a SeaPerch submarine robots and learn more about a science competition for Middle and High School Students	Civil and Environmental Engineering	
Hydrology + Sandbox = FUN!!	Hydrosystems Lab	Laboratory	"This educational sandbox + flow table model is all about hydrology. We can design a sandy landscape to increase or decrease surface runoff, ponding areas, and infiltration rates to recharge the underlying aquifers."	Civil and Environmental Engineering	
Groundwater Hydrology	Hydrosystems Lab	Laboratory	"In this exhibit you can see how water flows underneath the Earth's surface. Just as water moves on the surface through rivers, lakes, and oceans, it is also constantly moving below the surface. Humans withdraw groundwater for irrigation, drinking water, and industrial applications; these withdrawals can impact Groundwater is essential for irrigation, human consumption, industry, and the streams."	Civil and Environmental Engineering	
Tunnel and Reservoir Plan Model	Hydrosystems Lab	Laboratory	"As a very large and old city, Chicago still uses sewer pipes which contain both sanitary and stormwater flows; these are known as a combined sewers. Strong rainfall events may overload the urban drainage system, the rainfall excess may flood basements, streets and lower building levels. To mitigate these effects the City Of Chicago designed and built deep tunnels and gigantic reservoirs (TARP) where rainfall excess is storaged. In this manner engineers can regulate the inflows of sewage to the water treatment plans during extreme rainfall events. This MegaProject has reduced dramatically the frequency and volume of untreated sewer overflows discharged to the environment (Chicago River and Lake Michigan). U of I students have build a scaled model of TARP for one of our classes. Come and see what engineers can do to alleviate urban flooding hazards!"	Civil and Environmental Engineering	
Hazards of Modern Spillway	Hydrosystems Lab	Laboratory	"Spillway dams are very common in Illinois, but very dangerous. Do you know why?"	Civil and Environmental Engineering	
Tic-Tac-Tile Drainage	Hydrosystems Lab	Laboratory	"Tile drainage, or subsurface drainage, is the way farmers drain agricultural fields in order to improve crop growth. Although crops need rain, Illinois fields sometimes become too wet, and tile drains are used to quickly drain the extra water into ditches and streams. This exhibit demonstrates how tile drains can drain a field after a large rain event, and how much extra water is added to the streams. This extra water not only increases flow rates, but often has too many nutrients due to fertilizers and can cause water quality problems. Come see some old-fashioned and modern actual tile drains, and learn about how agricultural drainage works!"	Civil and Environmental Engineering	
Wind Tunnel	Hydrosystems Lab	Laboratory	"This exhibit allows you to see flow patterns around objects (sphere,cars,wings). Understanding the interactions between a solid object and its surroudings medium is critical for desigining more fuel-efficient, faster, and safer vehicles wether on the air, the water, or on the road."	Civil and Environmental Engineering	
Little big river	Hydrosystems Lab	Laboratory	"This unique meandering flume will allow you to explore the hydrodynamics of big rivers and how they affect human activities (ex. navigation, erosion/sedimentation control)"	Civil and Environmental Engineering	
Fluid Mechanics 101	Hydrosystems Lab	Laboratory	At Hydrosystems water is our business. Come to this exhibit to explore the fundamental properties of fluids through simple experiments.	Civil and Environmental Engineering	
"Water, a resource balancing act"	Hydrosystems Lab	Laboratory	"We all see water and its many uses inside the home but there are important uses that we do not see. These uses include energy production, growing food, manufacturing, and many more. Due to the scarcity of fresh water there are often complications when deciding who gets to use it. This exhibit gives you the power to decide how to distribute a limited amount of water to a community and visualize the effects. Do you have what it takes to keep the town running?"	Civil and Environmental Engineering	
Gravity Flows	Hydrosystems Lab	Laboratory	"Have you ever been to a beach and wondered how the sand got there? You can walk far out into the ocean and find endless amounts of sand, but how does it get there? Much of the sand we see in nature originated as mountains! In this exhibit, we show several mechanisms for how water moves sediment and how mountains can turn into the bottom of the ocean!"	Civil and Environmental Engineering	
Salt vs. Cold  Double diffusion in our oceans	Hydrosystems Lab	Laboratory	"A sugar cube will dissolve when placed into a warm drink; when you drink it, it tastes as if the sugar is evenly mixed everywhere. This is accomplished through a process called diffusion, which attempts to evenly distribute a mixture. The same process happens with salt in water and, believe-it-or-not, with temperature as well. We have all heard that our oceans are salty, but did you know there is also vast temperature change below the surface? The sun heats the top layer of the ocean, but can�t reach the bottom! This means the top layer is warm and more salty (due to evaporation!), while the lower layer is cold and less salty. Diffusion of dissolved salt and diffusion of temperature occur at different speeds, which creates some very interesting phenomena. Visit this exhibit for a fun example!"	Civil and Environmental Engineering	
Salt Water Intrusion	Hydrosystems Lab	Laboratory	"The exhibit will show the dynamics of a salt water intrusion in a fresh water (river) system. Salt water intrusion usually occurs at the interface of a standing body of salt water (like a sea or an ocean) and a river flowing into it. Salt water, being heavier, plunges under the fresh water coming from the river. And even though the river flows into the sea/ocean, salt water moves up the river. In nature this process plays a major role in transportation of pollutants and nutrients at the fluvial-marine interface.  <--->For the exhibit, we will be using a straight flume  with a slope, in which fresh water would be pumped in slowly from one end and taken out from the other, thus depicting an idealized river. The end from which fresh water would be taken out, will also have salt water (colored with a dye). Initially the Salt water would be stopped from intruding upstream using a gate, and the fresh water would be flowing over it. To show the intrusion, the gate would be suddenly removed. "	Civil and Environmental Engineering	
Where does the rain go?	Hydrosystems Lab	Laboratory	"Hydrology, in a nutshell, is studying where rain goes. Rain follows the topography of the landscape until it reaches the ocean. Sometimes it takes a short time to get there (runoff), sometimes it takes a long time (groundwater storage or snow), and sometimes it never reaches it (evaporation or transpiration). In this interactive model, you will see how rainfall is routed in streams and rivers at multiple scales. Your mouse is the storm cloud, and with a click of the mouse you will be able to dump rain anywhere in the United States!"	Civil and Environmental Engineering	
Urban flooding	Hydrosystems Lab	Laboratory	"hat is a floodplain and how they are strongly affected by human activities? This interactive exhibits show participants how human interventions on riverine systems alters the rivers response during flood events, and some alternative to mitigate its consequences."	Civil and Environmental Engineering	
Wave action	Hydrosystems Lab	Laboratory	How does the flow look like in the deep ocean? The oscillatory flow in the Large Oscillatory Water and Sediment Tunnel is simulating the flow in the ocean and the flow is visualized by spheres floating at different heights in the flow. We will put some neutral buoyant spheres (attached to a string with different lengths) into the tunnel and run oscillatory flows to show the velocity profiles in the tunnel.�	Civil and Environmental Engineering	
Emergent Behaviors of Integrated Biological Systems	Micro and Nanotechnology Lab	Atrium	The exhibit will showcase central concepts of our research on the design and fabrication of biohybrid robotic systems	Bioengineering	www.ebics.net
NanoSTRuCT: Nanoscale Science and Technology Resources for Community Teaching	Micro and Nanotechnology Lab	Atrium	"University of Illinois graduate students in Science, Technology, Engineering, and Mathematics (STEM) fields have partnered with the students and teachers of 3rd grade at Booker T. Washington (BTW) STEM Academy to prepare a series of public demonstrations about science and technology at the nanoscale. In cooperation with the University of Illinois Center for Nanoscale Science and Technology (CNST), NanoSTRuCT volunteers and 3rd grade BTW students will share three demonstrations from their STEM lab with the public, each demonstrating one principle they have learned about nanotechnology. "	Bioengineering	www.nano.illinois.edu/outreach
Center for Nanoscale Science and Technology--Student Initiative	Micro and Nanotechnology Lab	Atrium	"Engage in hands-on activities and demonstrations that highlight nanotechnology. We will explore some current applications, including consumer products, toys, and crafts that integrate nanoscale features. Test your knowledge of nanoscale science and technology with a fun quiz--with prizes--at our exhibit! "	Bioengineering	www.nano.illinois.edu
Center for Nanoscale Science and Technology: nano@illinois Research Experiences for Teachers (RET)	Micro and Nanotechnology Lab	Atrium	"Come to the Transistor Manufacturing Simulation, where visitors can execute the steps in the manufacturing process of a simple n-p-n transistor using various colors of Play-Doh as the layers of the transistor components.  Visitors will move from station to station to simulate the processes of deposition, photolithography, and etching. In the end, the layers of a transistor will be clearly visible and the finished product can be taken home!"	Bioengineering	www.nano.illinois.edu/education/nanoret.html
Center for Nanoscale Science and Technology (CNST)	Micro and Nanotechnology Lab	Atrium	"Explore nano@illinois research opportunities at high school, undergraduate and graduate students levels.  Get familiar with ongoing multidisciplinary projects and centers addressing global challenges in- agriculture and food, energy, biomedical devices, and others."	Bioengineering	www.nano.illinois.edu
Concrete Coasters	Newmark Hall	Crane Bay	Audience members will mix a rapid set cement and water in a petri dish with foam cut outs to make a coaster. Curing takes approximately 15 minutes.	Civil and Environmental Engineering	http://publish.illinois.edu/americanconcreteinstitute/
High Strength Cylinders	Newmark Hall	Crane Bay	Break high strength cylinders as a demonstration	Civil and Environmental Engineering	https://publish.illinois.edu/americanconcreteinstitute/about/
LEGO LEED	Newmark Hall	Crane Bay	Come play with every engineer's favorite toy and learn about the LEED rating system for green building!	Civil and Environmental Engineering	
Soil Engineering	Newmark Hall	Crane Bay	Every wondered how quicksand works? Stop by to be able to touch quick sand and learn how to survive if you fall in! The behavior of building foundations during earthquakes will also be demonstrated. You will also have the opportunity to build a wall out of paper that holds in an entire box of sand! This is the same idea behind how modern highway walls are built today.	Civil and Environmental Engineering	http://publish.illinois.edu/geostudents/
American Society of Civil Engineers	Newmark Hall	Crane Bay	This exhibit will demonstrate the principles of determinacy through a large scale jenga tower. Groups will play jenga while learning about indeterminate and determinate structures. Groups will win prizes with each block pulled from the tower.	Civil and Environmental Engineering	https://publish.illinois.edu/americansocietyofcivilengineers/
Art of Water Filtration	Newmark Hall	Crane Bay	"Water is an essential element for life. Within this exhibit attendees will get to make their own water filter that they will get to keep. In addition, resources will be provided for anyone who is interested in learning more about water, wastewater treatment, stormwater, and so on."	Civil and Environmental Engineering	http://publish.illinois.edu/wef-awwa-uiuc/
Thermal Cameras and Ultrasonic Sensors to Detect Traffic in Construction Zones	Newmark Hall	Crane Bay	"Counting cars is important to estimate traffic conditions in work zones and predict delays. Unfortunately, most traffic sensors require a dedicated power supply which can be difficult to obtain in construction zones. To overcome this challenge, we show how low power thermal cameras and ultrasonic sensors can be used to detect when a car passes and estimate its speed. The sensors can be mounted in a construction drum and are used to warn drivers about congestion. A live demo allows you to interact with the thermal and ultrasonic sensors and see how people can also be detected using our system."	Civil and Environmental Engineering	
Railroad Extravaganza!	Newmark Hall	Crane Bay	"The AREMA Student Chapter hosts Railroad Extravaganza! An interactive and educational exhibit for all EOH visitors interested in learning about railroads.  Railroad Extravaganza will incorporate both student run, and visiting organizations.  Usually, one or two railroads plus an Operation Lifesaver Representative will visit and talk about their latest projects, as well safety campaigns.  The student chapter members will also be present to talk about our full scale track display, as well as assist in operating our increasingly popular train simulator, and Intermodal Game.  These interactive exhibits will help teach visitors both the advantages of using a railroad plus road network (the Intermodal Game), as well as safety and reality of operating a train (the Train Simulator)."	Civil and Environmental Engineering	https://sites.google.com/site/aremauiuc/home
Illini Aerospace Outreach Projects	Newmark Hall	Crane Bay	"Come learn about aerospace engineering through hands-on projects with Illini Aerospace Outreach! We will be presenting wind tunnels, jet engines, fan copters, and more."	Aerospace Engineering	http://outreach.aerospace.illinois.edu/
Interactive Music Experience	Siebel Center	1214	"A combination of music, lights, and visualizations to create an experience like no other. "	Computer Science	
Dance Our Degrees!	Siebel Center	1302	"Using the fun and expressiveness of dance, this EOH project will explore nature of cancer and how Bioengineers can help fight it will be explained. Complex biology will be broken down into simple steps and movements that anyone can follow. "	Bioengineering	http://bmes.ec.illinois.edu/
Climber Robot	Siebel Center	1304	"Robot that climbs walls, and stays in a position. Has a webcam on it, so it can act as a security camera."	Mechanical Science and Engineering	
Markov Chain Chat Bot - Trump Bot	Siebel Center	1304	Ever wanted to chat with Donald Trump? Me neither. So I built a tool that lets you chat with a Trump clone. Come find out more for yourself	Computer Science	
StreamPoint	Siebel Center	Northeast Atrium	"We, as a society, constantly need to ""rapidly create"" (read: wing) presentations. Right here in Siebel Center, we bring you technology's answer. <--->StreamPoint is the world's first on-the-fly presentation. StreamPoint generates a presentation as you talk, using natural language processing and automated vocal transcription, with content powered by Google, Bing, WolframAlpha, and video streamed live from your phone's camera. Forget googling images for hours, we've entered a new era of presentations and story-telling: show the audience what your talking about without looking up anything, demonstrate physical components without passing anything around, and impress your crowd without memorizing (or knowing) a single fact."	Computer Science	https://github.com/MAKE-UIUC/Mhacks-VI
Working out with Internet of Things	Siebel Center	Northeast Atrium	"As we have increasingly more devices, they are getting harder to manage. In our demonstation, we show how a smart workout machine can work together with our smart devices to provide more accurate information about our workout."	Computer Science	
Smart Vending Machine	Siebel Center	Northeast Atrium	We present a vending machine that is automatically able to identify what item is next and how many of those items are left in the machine.	Computer Science	
SIGBio's Phylogenetic (Tree of Life)	Siebel Center	Northwest Atrium	We've created a website to better view the tree of life. Rather than a bunch of lines everywhere which makes viewing organisms confusing. We've simplified the design and prioritized navigation to make it easier for the user to navigate through the complex web that is the Tree of Life	Computer Science	https://www.facebook.com/groups/437474849694840/
Virtual Linux Machine In the Browser	Siebel Center	Northwest Atrium	Our exhibit is a complete virtual linux machine running in the browser with an integrated development environment (IDE). This has been developed over the last 1.5 years by students in the Computer Science Senior Project class.	Computer Science	http://cs-education.github.io/sys/#playground
CS 492 Scanning Tunneling Microscope	Siebel Center	Northwest Atrium	A small homebuilt scanning tunneling microscope. Find out how we built ours for a fraction of the price of buying one	Computer Science	
WebGL protfolio	Siebel Center	Northwest Atrium	Use Three.js to display 3D models on the website	Computer Science	
VROS	Siebel Center	Northwest Atrium	A showcase for a new type of virtual reality operating system with business applications		
SIG Co-Op	Siebel Center	Southeast Atrium	"SIGCo-op is a community of creative people who want to exploit the powers of technology to create meaningful, personal artwork. Come try out JumPic - our photo booth that takes group jump pictures without the hassle!"	Computer Science	
Sugar Sugar! 3D Printer	Siebel Center	Southwest Atrium	"Use our web app interface to deliver commands to our 3D food printer! Check out the fun, beautiful, and tasty side of progamming!"	Computer Science	https://wiki.cites.illinois.edu/wiki/display/CSFPSPSS/Sugar+Sugar%21+Food+Printer+Senior+Project+Home
The Ultimate Fitness Experience	Siebel Center	Southwest Atrium	"Biometric tracking and integration with video game fitness in real time!!! Taking video game fitness to the next level, with this multi-platform masterpiece. "	Computer Science	illinoiswcs.org/techteam
Solar Command	Siebel Center	Southwest Atrium	Demoing a PC video game produced by UIUC students	Computer Science	
Electrophoresis Obstacle Gel	Digital Computer Lab	1262	Venture through an obstacle course as part of a DNA strand and learn about the process of electrophoresis	Bioengineering	http://bmes.ec.illinois.edu/
Journey Through the Body	Digital Computer Lab	1265	Journey Through the Body will feature some of the most interesting functions of the human body. The exhibit will provide interactive demonstrations as well as great information on how the body works. Join BMES for multiple take-homes and candy!	Bioengineering	
EnVisioning the Future	Digital Computer Lab	East Atrium	"Synthesizing engineering and a vision for wearable tech, this EOH project is giving hands the eyes to see the world! EnVisioning the Future couples IR reflectance sensors with vibrating motors to allow the hand ""to see"" the changes in color displayed on paper. We are striving to add a new dimension to touch and literally give the disabled a helping hand. "	Bioengineering	http://bmes.ec.illinois.edu/
Animal Orthotics	Digital Computer Lab	East Atrium	"This project attempts to understand the impact of losing a limb on an animal�s life.  In doing so, we are seeking out a specific animal that needs a prosthetic or orthotic and creating it for them."	Bioengineering	http://bmes.ec.illinois.edu/
Innovation in Casts	Digital Computer Lab	East Atrium	This project explores the development of a 3D printed removable cast. This multi-layer cast improves comfort for the patient and appearance of the cast dramatically.	Bioengineering	http://bmes.ec.illinois.edu/
Crazy Legs	Digital Computer Lab	East Atrium	This project is a specialized leg prosthetic which responds to different music by matching dance movements. The idea behind this project is making a prosthetic distinguish between varying frequencies of the same stimuli and have specific corresponding responses.	Bioengineering	http://bmes.ec.illinois.edu/
Brain vs Brawn Pong	Digital Computer Lab	East Atrium	GAME WITH YOUR BRAIN! Join the Biomedical Engineering Society in an interactive competition between muscle and mind through the classic game of PONG (https://tr.im/zCHia). One paddle is controlled through electromyography (EMG) which allows a user to control an electrical device by measuring the potential across a muscle to determine degree of flexion. The other paddle is controlled by measuring brain waves through electroencephalography (EEG). This state-of-the-art technology is still in development and allows us to analyze various elements of brain activity by measuring potentials across the scalp. The ability to interact with electrical devices through mental and muscular impulses will revolutionize how we as a society interact with technology.	Bioengineering	http://bmes.ec.illinois.edu/
Tracking the Flu with Twitter	Digital Computer Lab	East Atrium	"Billions of people around the world use social media to express themselves. This project aims to use that public data to track occurrences of the flu. By properly collecting and analyzing posts on social networks, we attempt to identify where outbreaks are occurring. A tool that can do this accurately would help the healthcare industry by making it easier to contain epidemics."	Bioengineering	http://bmes.ec.illinois.edu/
Swimming Prosthetic	Digital Computer Lab	East Atrium	Upper arm prosthetic for disabled swimmers.	Bioengineering	http://bmes.ec.illinois.edu/
Mickey Mouse's Light Controlled Brain	Digital Computer Lab	East Atrium	"Optogenetics is the use of light to control living cells. In our model of this amazing biological technique, you will use light to control our old pal Mickey Mouse�s brain! Join BMES at our brand new exhibit to learn more about optogenetics, to discover the impact it will have on neurology, and to have some fun controlling Mickey with just light!"	Bioengineering	http://bmes.ec.illinois.edu/
Creating Vision	Digital Computer Lab	East Atrium	"We will be enhancing the human eye�s capabilities to �superhuman� to some extent. Our project involves the usage of drones, controlled hands free, to allow users to see in areas they normally wouldn�t be able to. The �vision� see by the drone will be projected onto an LCD screen, but beyond EOH we hope to adapt this technology into a helmet for portability and easy use. Come check us out and try out our demonstration!"	Bioengineering	http://bmes.ec.illinois.edu/
Heart Simulator	Digital Computer Lab	East Atrium	"Come and see our heart simulation prototype! In terms of the Bioengineering world, we have created a heart phantom: a device made to calibrate imaging systems such as MRIs, CT scans, and ultrasound. Our device simulates the motion of a rabbit heart and is capable of working on all three imaging techniques! The creation of our work involves 3D printing, fluidics, mechanical & electrical systems."	Bioengineering	http://bmes.ec.illinois.edu/
Preventing Vehicular Heatstrokes	Digital Computer Lab	East Atrium	"A child dies every nine days as a result of them being trapped inside of a hot car, increasing their risk of heatstroke. Current devices attempt to only solve 50% of this problem, but fall short because of unreliability. With our device, we intend to ensure 100% safety for any child or pet trapped inside of a hot car."	Bioengineering	http://bmes.ec.illinois.edu/
Protein Power	Digital Computer Lab	East Atrium	This exhibit will explore the protein collagen and it's applications to bioengineering.	Bioengineering	http://bmes.ec.illinois.edu
